request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This keeps the IDR 24768300 minimum protected over the 90-day forecast.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This keeps the ZAR 20500 minimum protected over the 90-day forecast.
request_28,332.8,affordable_later,wait,2024-06-15:1302.4,2024-06-15,none,Wait until 2024-06-15 to pay EUR 1302.4 in full; paying earlier would risk the EUR 1100 minimum.
request_29,7122.13,not_affordable,not_recommended,none,,none,Do not make this payment by 23 November 2025. No eligible payment option keeps the ZAR 28300 minimum protected through the 90-day forecast.
request_30,487.71,not_affordable,not_recommended,none,,none,Do not make this payment by 06 June 2026. No eligible payment option keeps the USD 900 minimum protected through the 90-day forecast.
request_31,3315865.55,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Wait until 2024-09-15 to pay IDR 18164000 in full; paying earlier would risk the IDR 16588900 minimum.
request_32,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. No eligible payment option keeps the ZAR 35700 minimum protected through the 90-day forecast.
request_33,36622.9,affordable_later,wait,2026-02-15:118000,2026-02-15,none,Wait until 2026-02-15 to pay INR 118000 in full; paying earlier would risk the INR 102100 minimum.
request_34,102646.31,not_affordable,not_recommended,none,,none,Do not make this payment by 28 January 2025. No eligible payment option keeps the INR 138500 minimum protected through the 90-day forecast.
request_35,27908.08,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Wait until 2026-01-15 to pay INR 212000 in full; paying earlier would risk the INR 106400 minimum.
request_36,726.38,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15 to pay USD 3954 in full; paying earlier would risk the USD 2400 minimum.
request_37,5247745.47,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Wait until 2024-05-15 to pay IDR 14649000 in full; paying earlier would risk the IDR 17056200 minimum.
request_38,171.84,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Wait until 2025-10-15 to pay EUR 971.3 in full; paying earlier would risk the EUR 400 minimum.
request_39,66839.27,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait until 2026-04-15 to pay INR 208600 in full; paying earlier would risk the INR 213400 minimum.
request_40,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. No eligible payment option keeps the EUR 1500 minimum protected through the 90-day forecast.
request_41,8217321.59,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Wait until 2025-11-15 to pay IDR 38760000 in full; paying earlier would risk the IDR 25366600 minimum.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This keeps the INR 113100 minimum protected over the 90-day forecast.
request_43,8342345.35,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait until 2024-11-15 to pay IDR 43339000 in full; paying earlier would risk the IDR 21398000 minimum.
request_44,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. No eligible payment option keeps the INR 82900 minimum protected through the 90-day forecast.
request_45,4084705.2,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15 to pay IDR 21983000 in full; paying earlier would risk the IDR 11149800 minimum.
request_46,38997.21,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-15,none,Use 2 installments of INR 25714. The full schedule stays above the INR 84000 minimum and completes by the requested date.
request_47,11844500.37,not_affordable,not_recommended,none,,none,Do not make this payment by 19 June 2025. No eligible payment option keeps the IDR 30049000 minimum protected through the 90-day forecast.
request_48,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 August 2026. No eligible payment option keeps the INR 71300 minimum protected through the 90-day forecast.
request_49,13920668.81,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use 3 installments of IDR 11902106.67. The full schedule stays above the IDR 20275700 minimum and completes by the requested date.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This keeps the INR 99700 minimum protected over the 90-day forecast.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This keeps the IDR 7811000 minimum protected over the 90-day forecast.
request_52,19360.55,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15 to pay INR 28870 in full; paying earlier would risk the INR 41500 minimum.
request_53,552.03,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use 3 installments of USD 589.06. The full schedule stays above the USD 2100 minimum and completes by the requested date.
request_54,3727.56,not_affordable,not_recommended,none,,none,Do not make this payment by 21 August 2026. No eligible payment option keeps the ZAR 37000 minimum protected through the 90-day forecast.
request_55,122059.58,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use 3 installments of INR 75781.33. The full schedule stays above the INR 124300 minimum and completes by the requested date.
request_56,636.42,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,Use 2 installments of USD 458.42. The full schedule stays above the USD 2100 minimum and completes by the requested date.
request_57,12944.37,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Wait until 2026-06-15 to pay ZAR 61446 in full; paying earlier would risk the ZAR 42700 minimum.
